population,bodyId,type,class,subclass,superclass,somaSide,rootSide,side_for_registry,instance
forward_DNp09,10783,DNp09,,xl,descending_neuron,L,,L,DNp09_L
forward_DNp09,11177,DNp09,,xl,descending_neuron,R,,R,DNp09_R
forward_DNp28,519268,DNp28,,xn,descending_neuron,L,,L,DNp28_L
forward_DNp28,14501,DNp28,,xn,descending_neuron,R,,R,DNp28_R
mechanosensory_auditory_JO-B1_b,150421,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,153859,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,158576,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,205974,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,274169,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,534437,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,943463,JO-B1_b,mechanosensory,auditory,cb_sensory,,L,L,JO-B1_b_L
mechanosensory_auditory_JO-B1_b,381870,JO-B1_b,mechanosensory,auditory,cb_sensory,,R,R,JO-B1_b_R
mechanosensory_auditory_JO-B1_b,496138,JO-B1_b,mechanosensory,auditory,cb_sensory,,R,R,JO-B1_b_R
mechanosensory_auditory_JO-B1_b,219898701,JO-B1_b,mechanosensory,wind_gravity,cb_sensory,,R,R,JO-B1_b_R
mechanosensory_auditory_JO-B1_b,450901253,JO-B1_b,mechanosensory,auditory,cb_sensory,,R,R,JO-B1_b_R
mechanosensory_auditory_JO-B1_b,863522732,JO-B1_b,mechanosensory,auditory,cb_sensory,,R,R,JO-B1_b_R
olfactory_ORN_DA1,109974,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,116652,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,125091,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,126313,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,142951,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,150625,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,164459,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,167511,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,175290,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,182463,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,182595,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,184224,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,185437,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,186936,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,188500,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,189443,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,195103,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,195820,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,197993,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,200896,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,203360,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,213507,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,214318,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,215349,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,215878,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,220075,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,223019,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,223769,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,225187,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,233139,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,235027,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,237740,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,238209,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,241901,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,242777,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,247222,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,270796,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,302985,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,319724,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,511819,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,550256,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,552423,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,590508,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,918192,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,925348,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,925533,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,925588,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,150992197,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,415235681,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,878712549,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,899152449,ORN_DA1,olfactory,,cb_sensory,,L,L,ORN_DA1_L
olfactory_ORN_DA1,89039,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,94134,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,95547,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,102431,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,102583,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,104594,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,107449,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,108716,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,109414,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,118367,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,118983,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,120209,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,122707,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,124591,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,126030,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,128088,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,128233,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,128752,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,128777,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,131195,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,132497,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,132713,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,133686,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,134658,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,135248,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,135568,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,135594,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,140055,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,140347,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,142731,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,143780,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,152643,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,152946,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,153554,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,156091,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,156551,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,157253,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
olfactory_ORN_DA1,157469,ORN_DA1,olfactory,,cb_sensory,,R,R,ORN_DA1_R
